permanent_id,title,brand,category,subcategory,price,volume,price_index,alcohol_content,country,url,thumbnail_url,image_url,rating,reviews,out_of_stock,description,is_buyable,stock_min,stock_max,stock_avg,stock_turnover_rate,total_annual_sales
10971,Infinito Winemaker's Selection Malbec 2018,Vintages Front Line Release,Wine,Red Wine,16.95,750,0.15694444444444,14.4,Argentina,https://www.lcbo.com/en/infinito-winemaker-s-selection-malbec-2014-10971,https://aem.lcbo.com/content/dam/lcbo/products/0/1/0/9/010971.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/0/9/010971.jpg.thumb.1280.1280.png,,0,True,"Grapy berry aromas come with a note of asphalt, while this is racy and braced by firm acidity. Plum, cassis and raspberry flavors are more red than black, while this Malbec from a top vintage finishes with pulling tannins that lend a rubbing texture. Drink through 2024.  Score - 92. (Michael Schachner, Wine Enthusiast, Sept. 1, 2021)",1,0,734,489.8333333333333,3.0602245661789724,1499
11200,JP Chenet Advent Calendar - Sparkling Wine,J.P. Chenet,Wine,Sparkling Wine,124.13,4800,0.19892628205128,13.0,France,https://www.lcbo.com/en/jp-chenet-advent-calendar-11200,https://aem.lcbo.com/content/dam/lcbo/products/0/1/1/2/011200.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/1/2/011200.jpg.thumb.1280.1280.png,4.4,39,True,"This super-fun gift pack is the perfect seasonal gift for the wine enthusiast in your life. Creatively crafted by JP Chenet, this is a very festive advent calendar with a mix of 24 mini, 200 mL bottles of sparkling wines - white, rosé. One different wine behind each door. One discovery every day!",1,0,126,67.58333333333333,3.329223181257707,225
11985,Jackson-Triggs Entourage with Icewine Dosage 2016,Vintages Front Line Release,Wine,Sparkling Wine,34.95,750,0.35846153846154,13.0,Canada,https://www.lcbo.com/en/jackson-triggs-entourage-with-icewine-dosage-2016-11985,https://aem.lcbo.com/content/dam/lcbo/products/0/1/1/9/011985.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/1/9/011985.jpg.thumb.1280.1280.png,,0,False,"When an Ontario Sparkling wine tells you its dosage was acted out as an Icewine finish and then the first nose is all Icewine well, then you've know its maker got it right. The facts are facts, of ripe peach, a hint of longan or litchi and the sugary sweetness of just bitten into, dripping autumn fruit. Proper replay and sparkling acidity into an even sweeter finish. Just a moment of lemon bitters and then smooth sailing. Surely for those who like high quality, high-end sweet fizz, like a white version of top shelf Brachetto d'Acqui. Drink date: 2020-2023. Score - 90. (Michael Godel, winealign.com, April 8, 2020)",1,183,416,249.75,3.023023023023023,755
12650,Unwined Smooth White,Unwined Wines,Wine,White Wine,9.3,750,0.10333333333333,12.0,Canada,https://www.lcbo.com/en/unwined-smooth-white-12650,https://aem.lcbo.com/content/dam/lcbo/products/0/1/2/6/012650.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/2/6/012650.jpg.thumb.1280.1280.png,3.0,2,False,"This exciting new brand by Colio is a crowd-pleaser. It offers simplicity and great taste that is easy to understand and enjoy. Refreshing and fruity with aromas and flavours of yellow plum, herbs, pastry and pear. Dry with a hint of sweetness that balances nicely with soft acidity. Pairs well with salty snacks or tacos.",1,628,1251,910.3333333333334,2.579274990845844,2348
14775,Stel + Mar Premium Red Wine,Stel+Mar Wines,Wine,Red Wine,2.75,250,0.08029197080292,13.7,United States,https://www.lcbo.com/en/stel-mar-premium-red-wine-14775,https://aem.lcbo.com/content/dam/lcbo/products/0/1/4/7/014775.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/4/7/014775.jpg.thumb.1280.1280.png,4.5,5,False,"Was: $4.95 An accessible red wine in an environmentally-friendly and convenient format. This is bursting with notes of raspberry, blackberry and cherry, followed by hints of chocolate and vanilla. Medium-bodied and fruity with a long, silky finish.",1,2225,4686,3241.4166666666665,2.7959996914929173,9063
14776,Stel + Mar Premium White Wine,Stel+Mar Wines,Wine,White Wine,4.95,250,0.13655172413793,14.5,United States,https://www.lcbo.com/en/stel-mar-premium-white-wine-14776,https://aem.lcbo.com/content/dam/lcbo/products/0/1/4/7/014776.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/4/7/014776.jpg.thumb.1280.1280.png,5.0,1,False,"Was: $4.95 Stel+Mar is a hip Canadian-owned company that is offering premium-quality wine in a convenient, fully recyclable can. Premium White is an un-oaked chardonnay from Mendocino, California, brimming with ripe orchard fruit and lively citrusy flavours; chill and serve with your favourite casual fare.",1,408,2465,1704.1666666666667,2.5819070904645476,4400
15561,Union Wine Alchemist Pinot Noir 2021,Union,Wine,Red Wine,44.3,750,0.42494004796163,13.9,United States,https://www.lcbo.com/en/union-wine-alchemist-pinot-noir-2016-15561,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/5/015561.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/5/015561.jpg.thumb.1280.1280.png,,0,False,"This is attractive, with wild strawberries, cocoa-dusted cherries, walnuts and nutmeg. Juicy and pristine on the palate, with medium body, crunchy acidity and sleek cherries and raspberries in the middle. It's both delicate and firm, with a flavorful blue-fruit finish. Drink or hold [until 2029]. Score - 93. (jamessuckling.com, May 9, 2023)",1,133,315,217.41666666666666,2.7182828669988504,591
15712,The Winery of Good Hope Full Berry Fermentation Pinotage 2021,Vintages Front Line Release,Wine,Red Wine,16.95,750,0.18833333333333,12.0,South Africa,https://www.lcbo.com/en/the-winery-of-good-hope-full-berry-fermentation-pinotage-2019-15712,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/7/015712.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/7/015712.jpg.thumb.1280.1280.png,4.0,1,True,"This wine comes from two sites, one in northern Stellenbosch with sandy, decomposed quartz and granite soils, and the other in the weathered granite soils of Voor Paardeberg. Destemmed but not crushed, the grapes underwent spontaneous wild fermentation in stainless steel with the intent of encouraging a less tannic style of Pinotage and emphasizing the wine's vibrant cherry, black fruit, spice and minerality.",1,0,951,522.4166666666666,2.5401180411548894,1327
16361,Robertson Winery Chapel Red,Robertson Wines,Wine,Red Wine,11.95,750,0.12746666666667,12.5,South Africa,https://www.lcbo.com/en/robertson-winery-chapel-red-16361,https://aem.lcbo.com/content/dam/lcbo/products/0/1/6/3/016361.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/6/3/016361.jpg.thumb.1280.1280.png,3.5,6,False,"Situated in the Robertson wine region, in South Africa's Western Cape Province, Robertson Winery has been making wine since 1941. This cabernet-merlot blend is soft and extra dry, with ample cassis, smoke, cedar and bell pepper flavours. Suitable for every occasion, and the perfect pour with ribs, steaks or hearty stews.",1,357,888,649.8333333333334,2.86688894588356,1863
16974,WineSoju,Kim's Winery & Distillery,Spirits,Soju,8.5,375,0.11447811447811,19.8,Canada,https://www.lcbo.com/en/winesoju-16974,https://aem.lcbo.com/content/dam/lcbo/products/0/1/6/9/016974.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/1/6/9/016974.jpg.thumb.1280.1280.png,3.7,3,False,"Kim's Winery & Distillery focuses on traditional South Korean beverages produced right here in Toronto. A unique fusion of lush Niagara-sourced red wine and corn-based Korean Soju-styled spirit; look for soft red berry flavours and gentle grain aromas. Pair with sweet and tangy Asian-inspired dishes, like grilled Galbi.",1,632,1728,1056.5833333333333,2.6472119252306965,2797
